Subject ID,Subject Age,Subject Gender,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Block,Control Type,Ratio of number of dots,Percentage of dots,Ratio of areas of dot sets (greater to smaller),Color One,Color Two,Response Time,Date/Time,Consecutive Rounds,Key for "Yes" 
3333,333,MALE,16,12,NO,NO,yes,2,Equal Areas,1.3333333333333333,0.5714285714285714,1.0000000000000002,Cyan,Brown,0.213371188,2015-10-12T15:06:05.370,1,F
3333,333,MALE,11,14,NO,NO,yes,2,Inverse Areas,1.2727272727272727,0.44,2.1967224528252287,Cyan,Brown,0.18957205,2015-10-12T15:06:05.779,2,F
3333,333,MALE,13,12,NO,NO,yes,2,Inverse Areas,1.0833333333333333,0.52,1.468037379273523,Cyan,Brown,0.165875971,2015-10-12T15:06:06.191,3,F
3333,333,MALE,12,13,NO,NO,yes,2,Inverse Areas,1.0833333333333333,0.48,1.3505335461104349,Cyan,Brown,0.165321329,2015-10-12T15:06:06.562,4,F
3333,333,MALE,18,7,YES,NO,no,2,Equal Areas,2.5714285714285716,0.72,1.0000000000000004,Cyan,Brown,0.165494948,2015-10-12T15:06:06.915,5,F
3333,333,MALE,30,18,YES,NO,no,2,Equal Areas,1.6666666666666667,0.625,1.0000000000000002,Cyan,Brown,0.185939294,2015-10-12T15:06:07.275,6,F
3333,333,MALE,19,6,YES,NO,no,2,Equal Areas,3.1666666666666665,0.76,1.0000000000000002,Cyan,Brown,0.162011866,2015-10-12T15:06:07.630,7,F
3333,333,MALE,11,14,NO,NO,yes,2,Inverse Areas,1.2727272727272727,0.44,1.7355684927493122,Cyan,Brown,0.148571744,2015-10-12T15:06:07.974,8,F
3333,333,MALE,12,13,NO,NO,yes,2,Inverse Areas,1.0833333333333333,0.48,1.0947413930296312,Cyan,Brown,0.163676219,2015-10-12T15:06:08.327,9,F
3333,333,MALE,19,6,YES,NO,no,2,Equal Areas,3.1666666666666665,0.76,1.0000000000000002,Cyan,Brown,0.154641159,2015-10-12T15:06:08.673,10,F
3333,333,MALE,24,18,NO,NO,yes,2,Inverse Areas,1.3333333333333333,0.5714285714285714,1.5664244429407386,Cyan,Brown,0.178338948,2015-10-12T15:06:09.026,11,F
3333,333,MALE,13,12,NO,NO,yes,2,Equal Areas,1.0833333333333333,0.52,1.0,Cyan,Brown,0.298226685,2015-10-12T15:06:09.765,12,F
3333,333,MALE,18,7,YES,NO,no,2,Inverse Areas,2.5714285714285716,0.72,8.250848309400725,Cyan,Brown,0.176695549,2015-10-12T15:06:10.207,13,F
3333,333,MALE,26,14,YES,NO,no,2,Inverse Areas,1.8571428571428572,0.65,3.158818715774091,Cyan,Brown,0.15520136,2015-10-12T15:06:10.550,14,F
3333,333,MALE,20,12,YES,NO,no,2,Equal Areas,1.6666666666666667,0.625,1.0000000000000002,Cyan,Brown,0.153126906,2015-10-12T15:06:10.859,15,F
3333,333,MALE,24,18,NO,NO,yes,2,Inverse Areas,1.3333333333333333,0.5714285714285714,1.7276046480540317,Cyan,Brown,0.156937984,2015-10-12T15:06:11.225,16,F
3333,333,MALE,20,12,YES,NO,no,2,Inverse Areas,1.6666666666666667,0.625,2.779734303709582,Cyan,Brown,0.175678207,2015-10-12T15:06:11.554,17,F
3333,333,MALE,13,7,YES,NO,no,2,Inverse Areas,1.8571428571428572,0.65,2.521768572593709,Cyan,Brown,0.135043957,2015-10-12T15:06:11.846,18,F
3333,333,MALE,11,14,NO,NO,yes,2,Equal Areas,1.2727272727272727,0.44,1.0000000000000002,Cyan,Brown,0.172503449,2015-10-12T15:06:12.185,19,F
3333,333,MALE,18,7,YES,NO,no,2,Inverse Areas,2.5714285714285716,0.72,7.617769282821376,Cyan,Brown,0.161323802,2015-10-12T15:06:12.477,20,F
3333,333,MALE,12,18,NO,NO,yes,1,Equal Areas,1.5,0.4,1.0000000000000004,Blue,Yellow,2.383873735,2015-10-12T15:06:18.330,21,F
3333,333,MALE,12,13,NO,NO,yes,1,Equal Areas,1.0833333333333333,0.48,1.0000000000000004,Blue,Yellow,0.478416864,2015-10-12T15:06:18.960,22,F
3333,333,MALE,16,9,YES,NO,no,1,Equal Areas,1.7777777777777777,0.64,1.0000000000000002,Blue,Yellow,0.142336834,2015-10-12T15:06:19.300,23,F
3333,333,MALE,14,11,YES,NO,no,1,Inverse Areas,1.2727272727272727,0.56,1.883047462351949,Blue,Yellow,0.150999852,2015-10-12T15:06:19.618,24,F
3333,333,MALE,11,14,NO,NO,yes,1,Equal Areas,1.2727272727272727,0.44,1.0000000000000002,Blue,Yellow,0.169683627,2015-10-12T15:06:19.977,25,F
3333,333,MALE,27,18,YES,NO,no,1,Inverse Areas,1.5,0.6,2.711766335486967,Blue,Yellow,0.138632237,2015-10-12T15:06:20.267,26,F
3333,333,MALE,9,16,NO,NO,yes,1,Equal Areas,1.7777777777777777,0.36,1.0000000000000002,Blue,Yellow,0.157867661,2015-10-12T15:06:20.607,27,F
3333,333,MALE,13,12,YES,NO,no,1,Equal Areas,1.0833333333333333,0.52,1.0,Blue,Yellow,0.134150201,2015-10-12T15:06:20.900,28,F
3333,333,MALE,12,13,NO,NO,yes,1,Inverse Areas,1.0833333333333333,0.48,1.4006037838945429,Blue,Yellow,0.086476233,2015-10-12T15:06:21.141,29,F
3333,333,MALE,24,16,YES,NO,no,1,Inverse Areas,1.5,0.6,2.123640745613881,Blue,Yellow,0.125672775,2015-10-12T15:06:21.768,30,F
3333,333,MALE,16,24,NO,NO,yes,1,Equal Areas,1.5,0.4,1.0,Blue,Yellow,0.123648354,2015-10-12T15:06:22.017,31,F
3333,333,MALE,9,16,NO,NO,yes,1,Equal Areas,1.7777777777777777,0.36,1.0000000000000004,Blue,Yellow,0.176090019,2015-10-12T15:06:22.505,32,F
3333,333,MALE,13,12,YES,NO,no,1,Equal Areas,1.0833333333333333,0.52,1.0,Blue,Yellow,0.130678237,2015-10-12T15:06:22.739,33,F
3333,333,MALE,16,9,YES,NO,no,1,Inverse Areas,1.7777777777777777,0.64,3.7655266440808894,Blue,Yellow,0.097649037,2015-10-12T15:06:22.976,34,F
3333,333,MALE,14,11,YES,NO,no,1,Inverse Areas,1.2727272727272727,0.56,1.4493677479721696,Blue,Yellow,0.146995911,2015-10-12T15:06:23.407,35,F
3333,333,MALE,11,14,NO,NO,yes,1,Inverse Areas,1.2727272727272727,0.44,1.1019294216682418,Blue,Yellow,0.163497468,2015-10-12T15:06:23.959,36,F
3333,333,MALE,14,11,YES,NO,no,1,Equal Areas,1.2727272727272727,0.56,1.0000000000000004,Blue,Yellow,0.196292324,2015-10-12T15:06:24.461,37,F
3333,333,MALE,13,12,YES,NO,no,1,Inverse Areas,1.0833333333333333,0.52,1.3477053585173222,Blue,Yellow,0.088342001,2015-10-12T15:06:24.705,38,F
3333,333,MALE,12,13,NO,NO,yes,1,Equal Areas,1.0833333333333333,0.48,1.0000000000000004,Blue,Yellow,0.1377821,2015-10-12T15:06:25.145,39,F
3333,333,MALE,9,16,NO,NO,yes,1,Inverse Areas,1.7777777777777777,0.36,2.6362769142497733,Blue,Yellow,0.131613473,2015-10-12T15:06:25.593,40,F
3333,333,MALE,13,12,YES,NO,no,0,Inverse Areas,1.0833333333333333,0.52,1.0168842332663026,Green,Red,0.178855103,2015-10-12T15:06:25.847,41,F
3333,333,MALE,9,16,NO,NO,yes,0,Equal Areas,1.7777777777777777,0.36,1.0000000000000002,Green,Red,0.214199515,2015-10-12T15:06:30.090,42,F
3333,333,MALE,14,11,YES,NO,no,0,Equal Areas,1.2727272727272727,0.56,1.0,Green,Red,0.168616252,2015-10-12T15:06:30.498,43,F
