Subject ID,Subject Age,Subject Gender,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Difficulty,Distance,Control Type,Ratio of number of dots (greater to smaller),Ratio of areas of dot sets (greater to smaller),Response Time,Date/Time,Consecutive Rounds
2,344,MALE,9,13,right,right,yes,HARD,4,Equal Areas,1.4444444444444444,1.0000000000000002,0.387076979,2015-08-31T15:28:09.910,1
2,344,MALE,13,2,left,left,yes,MEDIUM,11,Inverse Areas,6.5,37.44914058632848,0.534431613,2015-08-31T15:28:12.452,2
2,344,MALE,12,26,right,right,yes,EASY,14,Inverse Areas,2.1666666666666665,6.3684147546041645,0.348785754,2015-08-31T15:28:14.475,3
2,344,MALE,8,5,left,left,yes,HARD,3,Inverse Areas,1.6,4.28054434229561,0.475390718,2015-08-31T15:28:17.002,4
2,344,MALE,1,18,right,right,yes,EASY,17,Equal Areas,18.0,1.0000000000000002,0.391219472,2015-08-31T15:28:19.277,5
2,344,MALE,10,20,right,right,yes,MEDIUM,10,Equal Areas,2.0,1.0000000000000002,0.437120448,2015-08-31T15:28:21.824,6
2,344,MALE,22,18,left,right,no,HARD,4,Inverse Areas,1.2222222222222223,1.3556879138521196,0.533726871,2015-08-31T15:28:24.102,7
2,344,MALE,10,6,left,left,yes,HARD,4,Equal Areas,1.6666666666666667,1.0000000000000002,0.644040682,2015-08-31T15:28:26.641,8
2,344,MALE,15,19,right,right,yes,HARD,4,Inverse Areas,1.2666666666666666,1.0243339525374804,0.40264372,2015-08-31T15:28:28.616,9
2,344,MALE,13,24,right,right,yes,MEDIUM,11,Equal Areas,1.8461538461538463,1.0000000000000002,0.342093706,2015-08-31T15:28:30.776,10
2,344,MALE,11,26,right,right,yes,EASY,15,Inverse Areas,2.3636363636363638,3.990965022053861,0.349844149,2015-08-31T15:28:33.195,11
2,344,MALE,16,2,left,left,yes,EASY,14,Equal Areas,8.0,1.0,0.395146865,2015-08-31T15:28:35.560,12
2,344,MALE,24,13,left,left,yes,MEDIUM,11,Equal Areas,1.8461538461538463,1.0000000000000002,0.404384192,2015-08-31T15:28:37.963,13
2,344,MALE,19,22,right,right,yes,HARD,3,Inverse Areas,1.1578947368421053,1.1971469225765718,0.423305723,2015-08-31T15:28:40.173,14
2,344,MALE,13,2,left,left,yes,MEDIUM,11,Inverse Areas,6.5,79.36896211142967,0.515437382,2015-08-31T15:28:42.552,15
